Calls for Service and Prevention,Crime and NonCrime Demand,Alert Level,District,Area,No
Demand,Crime,2,Auckland City,Auckland Central Area,99
Demand,Crime,2,Auckland City,Auckland Central Area,1
Demand,Crime,2,Auckland City,Auckland Central Area,2
Demand,Crime,2,Auckland City,Auckland Central Area,93
Demand,Crime,2,Auckland City,Auckland Central Area,32
Demand,Crime,2,Auckland City,Auckland Central Area,54
Demand,Crime,2,Auckland City,Auckland Central Area,6
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,15
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,19
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland East Area,6
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,5
Demand,Crime,2,Auckland City,Auckland East Area,8
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,74
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,37
Demand,Crime,2,Auckland City,Auckland East Area,30
Demand,Crime,2,Auckland City,Auckland East Area,21
Demand,Crime,2,Auckland City,Auckland East Area,11
Demand,Crime,2,Auckland City,Auckland East Area,15
Demand,Crime,2,Auckland City,Auckland East Area,35
Demand,Crime,2,Auckland City,Auckland East Area,10
Demand,Crime,2,Auckland City,Auckland East Area,12
Demand,Crime,2,Auckland City,Auckland East Area,12
Demand,Crime,2,Auckland City,Auckland East Area,16
Demand,Crime,2,Auckland City,Auckland East Area,15
Demand,Crime,2,Auckland City,Auckland East Area,58
Demand,Crime,2,Auckland City,Auckland East Area,25
Demand,Crime,2,Auckland City,Auckland East Area,37
Demand,Crime,2,Auckland City,Auckland East Area,30
Demand,Crime,2,Auckland City,Auckland West Area,3
Demand,Crime,2,Auckland City,Auckland West Area,17
Demand,Crime,2,Auckland City,Auckland West Area,4
Demand,Crime,2,Auckland City,Auckland West Area,13
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland West Area,15
Demand,Crime,2,Auckland City,Auckland West Area,5
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland West Area,6
Demand,Crime,2,Auckland City,Auckland West Area,39
Demand,Crime,2,Auckland City,Auckland West Area,23
Demand,Crime,2,Auckland City,Auckland West Area,29
Demand,Crime,2,Auckland City,Auckland West Area,28
Demand,Crime,2,Auckland City,Auckland West Area,27
Demand,Crime,2,Auckland City,Auckland West Area,31
Demand,Crime,2,Auckland City,Auckland West Area,22
Demand,Crime,2,Auckland City,Auckland West Area,21
Demand,Crime,2,Auckland City,Auckland West Area,13
Demand,Crime,2,Auckland City,Auckland West Area,45
Demand,Crime,2,Auckland City,Auckland West Area,38
Demand,Crime,2,Auckland City,Auckland West Area,25
Demand,Crime,2,Auckland City,Auckland Central Area,18
Demand,Crime,2,Auckland City,Auckland Central Area,23
Demand,Crime,2,Auckland City,Auckland Central Area,1
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland West Area,5
Demand,Crime,2,Auckland City,Auckland West Area,8
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland West Area,3
Demand,Crime,2,Auckland City,Auckland West Area,5
Demand,Crime,2,Auckland City,Auckland West Area,5
Demand,Crime,2,Auckland City,Auckland Central Area,1
Demand,Crime,2,Auckland City,Auckland Central Area,1
Demand,Crime,2,Auckland City,Auckland Central Area,1
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland West Area,4
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland West Area,3
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland Central Area,3
Demand,Crime,2,Auckland City,Auckland Central Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland Central Area,2
Demand,Crime,2,Auckland City,Auckland Central Area,4
Demand,Crime,2,Auckland City,Auckland Central Area,101
Demand,Crime,2,Auckland City,Auckland Central Area,4
Demand,Crime,2,Auckland City,Auckland Central Area,3
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,11
Demand,Crime,2,Auckland City,Auckland East Area,16
Demand,Crime,2,Auckland City,Auckland East Area,25
Demand,Crime,2,Auckland City,Auckland East Area,13
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland West Area,5
Demand,Crime,2,Auckland City,Auckland West Area,24
Demand,Crime,2,Auckland City,Auckland West Area,25
Demand,Crime,2,Auckland City,Auckland West Area,19
Demand,Crime,2,Auckland City,Auckland West Area,4
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland Central Area,5
Demand,Crime,2,Auckland City,Auckland Central Area,1
Demand,Crime,2,Auckland City,Auckland Central Area,29
Demand,Crime,2,Auckland City,Auckland Central Area,3
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,5
Demand,Crime,2,Auckland City,Auckland East Area,6
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,19
Demand,Crime,2,Auckland City,Auckland East Area,10
Demand,Crime,2,Auckland City,Auckland East Area,20
Demand,Crime,2,Auckland City,Auckland East Area,11
Demand,Crime,2,Auckland City,Auckland West Area,6
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland West Area,23
Demand,Crime,2,Auckland City,Auckland West Area,10
Demand,Crime,2,Auckland City,Auckland West Area,4
Demand,Crime,2,Auckland City,Auckland Central Area,4
Demand,Crime,2,Auckland City,Auckland Central Area,8
Demand,Crime,2,Auckland City,Auckland Central Area,1
Demand,Crime,2,Auckland City,Auckland Central Area,3
Demand,Crime,2,Auckland City,Auckland Central Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland West Area,6
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland Central Area,5
Demand,Crime,2,Auckland City,Auckland Central Area,53
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,4
Demand,Crime,2,Auckland City,Auckland East Area,4
Demand,Crime,2,Auckland City,Auckland East Area,21
Demand,Crime,2,Auckland City,Auckland East Area,16
Demand,Crime,2,Auckland City,Auckland East Area,13
Demand,Crime,2,Auckland City,Auckland East Area,17
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland West Area,3
Demand,Crime,2,Auckland City,Auckland West Area,4
Demand,Crime,2,Auckland City,Auckland West Area,33
Demand,Crime,2,Auckland City,Auckland West Area,16
Demand,Crime,2,Auckland City,Auckland West Area,24
Demand,Crime,2,Auckland City,Auckland Central Area,2
Demand,Crime,2,Auckland City,Auckland Central Area,4
Demand,Crime,2,Auckland City,Auckland Central Area,3
Demand,Crime,2,Auckland City,Auckland Central Area,23
Demand,Crime,2,Auckland City,Auckland Central Area,2
Demand,Crime,2,Auckland City,Auckland Central Area,46
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland East Area,12
Demand,Crime,2,Auckland City,Auckland East Area,5
Demand,Crime,2,Auckland City,Auckland East Area,5
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland West Area,11
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland West Area,6
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland West Area,3
Demand,Crime,2,Auckland City,Auckland West Area,19
Demand,Crime,2,Auckland City,Auckland West Area,5
Demand,Crime,2,Auckland City,Auckland West Area,5
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Rotorua Area,2
Demand,Crime,2,Bay Of Plenty,Rotorua Area,6
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,8
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,11
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,26
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,2
Demand,Crime,2,Bay Of Plenty,Rotorua Area,3
Demand,Crime,2,Bay Of Plenty,Rotorua Area,92
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,4
Demand,Crime,2,Bay Of Plenty,Taupo Area,23
Demand,Crime,2,Bay Of Plenty,Taupo Area,18
Demand,Crime,2,Bay Of Plenty,Taupo Area,3
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,29
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,10
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,36
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,35
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,8
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,6
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,6
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,7
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,17
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,11
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,13
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,22
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,4
Demand,Crime,2,Bay Of Plenty,Rotorua Area,33
Demand,Crime,2,Bay Of Plenty,Rotorua Area,9
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,46
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,54
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,9
Demand,Crime,2,Bay Of Plenty,Rotorua Area,3
Demand,Crime,2,Bay Of Plenty,Rotorua Area,66
Demand,Crime,2,Bay Of Plenty,Taupo Area,6
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,6
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,4
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,4
Demand,Crime,2,Bay Of Plenty,Taupo Area,35
Demand,Crime,2,Bay Of Plenty,Taupo Area,14
Demand,Crime,2,Bay Of Plenty,Taupo Area,3
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,6
Demand,Crime,2,Bay Of Plenty,Taupo Area,5
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,4
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,4
Demand,Crime,2,Bay Of Plenty,Taupo Area,12
Demand,Crime,2,Bay Of Plenty,Taupo Area,23
Demand,Crime,2,Bay Of Plenty,Taupo Area,18
Demand,Crime,2,Bay Of Plenty,Taupo Area,16
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,13
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,9
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,11
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,9
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,8
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,18
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,38
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,16
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,15
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,19
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,8
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,23
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,10
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,11
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,6
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,10
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,21
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,11
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,40
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,20
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,16
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,10
Demand,Crime,2,Bay Of Plenty,Rotorua Area,11
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,4
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,7
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,9
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,6
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Rotorua Area,11
Demand,Crime,2,Bay Of Plenty,Rotorua Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,6
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,2
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,16
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,2
Demand,Crime,2,Bay Of Plenty,Rotorua Area,2
Demand,Crime,2,Bay Of Plenty,Rotorua Area,50
Demand,Crime,2,Bay Of Plenty,Rotorua Area,11
Demand,Crime,2,Bay Of Plenty,Taupo Area,3
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,9
Demand,Crime,2,Bay Of Plenty,Taupo Area,11
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,4
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,9
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,6
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,23
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,37
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,19
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,6
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
