Location,Age,Gender,Ethnicity,Resolution,Offence,Year,Value,Flags
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1994,106,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1994,1450,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1994,1153,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1994,1574,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1994,961,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1994,101,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1994,70,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1994,766,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1994,3163,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1994,1031,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1994,1569,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1994,375,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1994,1235,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1994,12551,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1994,12,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1994,1570,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1994,92,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1994,60,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1994,267,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1994,100,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1994,2373,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1994,1183,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1994,69,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1994,1371,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1994,1202,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1994,1900,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1994,16864,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1994,14919,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1994,11,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1994,9,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1994,2264,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1994,171,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1994,4782,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1994,2269,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1994,137,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1994,53,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1994,1799,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1995,7919,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1996,8225,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1995,5,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1996,1,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1995,1153,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1996,1080,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1995,46,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1996,72,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1995,28,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1996,26,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1995,191,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1996,241,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1995,44,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1996,43,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1995,744,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1996,591,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1995,1591,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1996,1832,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1995,456,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1996,425,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1995,1467,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1996,1133,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1995,244,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1996,273,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1995,519,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1996,681,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1995,963,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1996,1140,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1995,423,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1996,636,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1995,45,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1996,51,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1994,2217,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1994,587,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1994,894,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1994,154,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1994,1350,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1994,4765,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1994,1626,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1994,2410,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1994,852,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1994,79,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1994,19155,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1994,20,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1994,2448,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1994,154,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1994,109,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1994,601,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1994,2280,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1994,2035,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1994,500,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1994,1584,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1994,19855,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1994,11,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1994,2827,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1994,133,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1994,64,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1994,562,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1994,119,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1994,7061,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1994,6,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1994,825,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1994,62,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1994,55,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1994,240,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1994,9,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1994,429,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1994,1570,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1994,705,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1994,909,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1994,216,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1994,566,
Tasman District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1994,1196,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1995,20148,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1996,22101,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1995,5,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1996,12,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1995,2561,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1996,2377,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1995,134,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1996,96,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1995,35,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1996,69,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1995,473,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1996,373,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1995,157,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1996,127,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1995,1066,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1996,1023,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1995,4044,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1996,4319,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1995,1632,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1996,2356,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1995,2334,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1996,2494,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1995,405,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1996,528,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1995,1639,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1996,1711,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1995,4382,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1996,5078,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1995,1080,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1996,1256,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1995,201,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1996,282,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1995,12517,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1996,13980,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1995,1,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1996,4,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1995,2001,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1996,2210,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1995,109,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1996,87,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1995,41,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1996,66,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1995,603,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1996,703,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1995,49,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1996,69,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1995,669,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1996,687,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1995,2629,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1996,2931,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1995,944,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1996,1045,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1995,1362,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1996,1450,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1995,391,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1996,460,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1995,1205,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1996,1456,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1995,1999,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1996,2097,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1995,477,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1996,656,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1995,37,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1996,59,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1995,27527,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1996,18132,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1995,2,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1996,9,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1995,2590,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1996,2915,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1995,144,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1996,242,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1995,65,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1996,65,
